영상ID,영상제목,영상설명,게시일,태그,카테고리,썸네일,조회수,좋아요,영상길이(초),자막여부,구독자 수,채널 총 조회수,업로드된 영상 수,자막 유형,자막 파일
dlXQe6-izJU,돌아온 유튜버들을 미치게 하는 게임 1위,"레벨 데블 Level Devil
우주하마 UZUHAMA",2024-12-22T02:30:20Z,"병맛게임, ㅋㅋㅋㅋ, uzuhama, 레벨데빌",20,https://i.ytimg.com/vi/dlXQe6-izJU/hqdefault.jpg,647407,8143,1644.0,false,2100000,1883803096,2938,transcript_api,captions\dlXQe6-izJU.txt
hAhYp2WI8vw,완벽히 3D로 돌아온 항아리게임,"원 박스 원 골 One Box One Goal
우주하마 UZUHAMA",2025-02-25T02:30:34Z,"병맛게임, 공포게임, ㅋㅋㅋㅋ, uzuhama",20,https://i.ytimg.com/vi/hAhYp2WI8vw/hqdefault.jpg,677412,7421,1798.0,false,2100000,1883803096,2938,transcript_api,captions\hAhYp2WI8vw.txt
AhE7PT7fr60,깜짝 놀랄 준비가 되었습니까? (공포게임/갑툭튀 시뮬레이터),"#공포게임 #갑툭튀 #무서움 
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : 
1. Jumpscare Simulator: System Breach
2. BRIDGE
※다운로드링크 : 
1. https://store.steampowered.com/app/3551600/Jumpscare_Simulator_System_Breach/
2. https://store.steampowered.com/app/3337000/BRIDGE/
※한글패치 링크 : https://blog.naver.com/gusrud6151/223827645350
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-04-12T12:43:39Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/AhE7PT7fr60/hqdefault.jpg,131334,2208,2084.0,false,961000,654855265,1844,transcript_api,captions\AhE7PT7fr60.txt
E7Z2kPZpHng,엄마한테 걸리지 않고 몰래 야식 찾기(공포게임),"#공포게임 #야식 #몰래 
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : 
1. Get a midnight snack without mom knowing
2. THREAT -SCREAM AND ESCAPE-
3. My Dear Sheep
※다운로드링크 : 
1. https://store.steampowered.com/app/3447570/Get_a_midnight_snack_without_mom_knowing/
2. https://store.steampowered.com/app/3493610/THREAT_SCREAM_AND_ESCAPE/
3. https://mustgamedev.itch.io/my-dear-sheep
※한글패치 링크 : 
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-04-08T13:04:54Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/E7Z2kPZpHng/hqdefault.jpg,188309,3004,1889.0,false,961000,654855265,1844,transcript_api,captions\E7Z2kPZpHng.txt
3wJWgqaIO9o,한 명만 실수해도 죽는 지옥의 탈출게임🔥,"협동 게임인데 쇠사슬로 묶여 있다..? 이건 진짜 지옥이다

▶구독하기❤& 좋아요👍버튼을 눌러주세요! 큰 힘이 됩니다 :D
----------------------------------------­----------
▷잠뜰 TV 간편 무료 구독하기 ! : http://goo.gl/FnZZQO
🐳비하인드를 보고싶다면 여기에요 여기 ! :https://www.youtube.com/channel/UCg7rkxrTnIhiHEpXY1ec9NA/join
----------------------------------------­----------

#잠뜰",2024-07-25T07:08:21Z,"마인크래프트, Minecraft, 잠뜰, Sleepground, 수현, 칠각별, 각별, 라더, 마인크래프트 잠뜰, 마크 미니게임, 공룡, 잠뜰 공룡, 덕개, 마인크래프트 스토리, 잠뜰 스토리, 잠뜰 상황극, 온리업, 체인드 투게더, 쇠사슬 게임, 잠뜰 쇠사슬, 잠뜰 합방, 잠뜰 공룡 쇠사슬, 잠뜰 협동게임, CH",20,https://i.ytimg.com/vi/3wJWgqaIO9o/hqdefault.jpg,938914,21992,2113.0,false,2320000,4030115256,4240,transcript_api,captions\3wJWgqaIO9o.txt
WljH6JM920s,화나서 머리털 다 빠지는 게임ㅋㅋㅋ,"#게임 #주둥이 #겟투워크 

게임 이름 : get to work
원본 영상 : https://youtu.be/1g4UnYr21ZY?si=xkM2ffC3MVzocskP

요건 게임용 서브 채널이고 100만 넘는 본 채널이 있다구!
본 채널 : https://www.youtube.com/channel/UC9ta639M37zzWKwo7kKc80A",2025-02-18T11:32:41Z,"겟투워크, 주둥이, get to work, 게임",20,https://i.ytimg.com/vi/WljH6JM920s/hqdefault.jpg,82598,1213,1545.0,false,56600,13589592,69,transcript_api,captions\WljH6JM920s.txt
wCvjv7iMqjE,새롭게 이사 간 집의 숨겨진 어두운 과거 (공포게임/Unmourned),"#공포게임 
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : 
1. Unmourned
2. GhostSiege
※다운로드링크 : 
1. https://store.steampowered.com/app/3528970/Unmourned/
2. https://galacticcrows.itch.io/ghost-siege
※한글패치 링크 : 
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-04-14T12:56:45Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/wCvjv7iMqjE/hqdefault.jpg,143215,2296,2106.0,false,961000,654855265,1844,,
F78BIWesVmw,잡히면 방송 영정 당하는 '그 게임' 레전드 찍었습니다🔞,"공포게임 방과 후 술래잡기
-----------------------------------------------------------------------------------------------
✅생방송 주소✅
치지직 : https://chzzk.naver.com/75bd327f6ba6f57106c79fe3f2c3d19f
아프리카 : https://bj.afreecatv.com/rngudwnswkd

✅멤버쉽 가입✅
https://www.youtube.com/channel/UC7bcRlidTERRb_MKRHPVSnw/join

✅업로드 날짜 ✅
월,화,수,목,토,일 (오후10시)
랜덤으로 올라갑니다!

✅푸린 팬카페✅
https://cafe.naver.com/purin1000

✅푸린 다시보기 채널✅
https://www.youtube.com/@purinfull29

✅푸린한테 선물하는 팬심 주소✅
https://fancim.me/celeb/celebDonation.aspx?cu_id=f_7lg6694586oany05

✅인스타 주소✅
https://www.instagram.com/purin_26/

✅광고문의✅
purin@sandboxnetwork.net

✅개인 메일/고인물 초빙석 메일✅
kmb1000@naver.com

#푸린 #공포게임 #방과후술래잡기 #공략 #고인물 #스피드런 #speedrun",2025-04-11T12:02:03Z,"공포게임, 고인물, 공략, 픽셀, 공포, 스피드런, SPEEDRUN, 타임어택, 푸린",20,https://i.ytimg.com/vi/F78BIWesVmw/hqdefault.jpg,474116,7947,1471.0,false,687000,612090806,2710,transcript_api,captions\F78BIWesVmw.txt
WFB2gMBBnNo,진짜 너무나 신기한 공포게임,"레벨 13 LEVEL 13
우주하마 UZUHAMA",2025-04-08T02:30:31Z,"병맛게임, 공포게임, ㅋㅋㅋㅋ, uzuhama",20,https://i.ytimg.com/vi/WFB2gMBBnNo/hqdefault.jpg,170538,2593,2234.0,false,2100000,1883803096,2938,transcript_api,captions\WFB2gMBBnNo.txt
DXzJgwxMTFM,[마나 LIVE📺️] 비오는 금요일 재밌는 게임으로 새벽까지. 노 레스트 포 더 위키드 브리치 정주행,"마나물약 실시간 방송입니다.

멤버십 가입과 후원은 마나물약 채널 성장에 큰 도움이 됩니다.
열심히 하겠습니다(__)

[마나물약 채널 투네이션 후원하기]
https://toon.at/donate/637787175282402145

QR 후원:
https://toon.at/widget/qrcode/93ffa9886ef7387a45e3fb0d7639495d

치지직: https://chzzk.naver.com/f60b1e6f57053bd49a88e23e25095797
인스타그램: https://www.instagram.com/gm_mana/
디스코드: https://discord.gg/CrGtRqbFNQ

↓↓마나물약의 종합게임 저장소 ↓↓
https://www.youtube.com/channel/UCd4dzJTpaGwy739_C8971Cw

광고 문의: Contact@wasdstudio.co.kr
E-MAIL :  noroo8809@naver.com",2025-05-09T23:00:11Z,"노 레스트 포더 위키드, 노레스트 업데이트, 신작게임, ARPG, 노레스트포더위키드, No Rest for the Wicked, 노레스트포더위키드 브리치, 마나물약",20,https://i.ytimg.com/vi/DXzJgwxMTFM/hqdefault.jpg,9342,110,42899.0,false,60400,30832935,1207,transcript_api,captions\DXzJgwxMTFM.txt
r-Tr4_5kMwA,친구끼리 게임한 겜쩜하네 모아봤쩜2 금칙어 희생게임 패더파티 얼음땡,"0:04 금칙어 
12:05 희생게임
22:22 페더 파티
35:45 얼음땡

놀러오시쩜~👋
💜틱톡_https://www.tiktok.com/@mjjm.min.mi
💜인스타_https://www.instagram.com/mjjmin.mi

#민쩌미 #겜쩜하네 #모아봤쩜

📍이 영상에는 네이버에서 제공한 나눔글꼴이 적용되어 있습니다.",2024-11-24T01:00:39Z,"민쩌미, 쩌미, 민쩜, 쩜바쩜, 쩜by쩜, 시트콤, 1인다역, 일인다역, 유형드라마, 드라마, 웹드라마, 유형, 유형별, 유형별공감, 공감, 소통, 꿀잼, 상황극, 공감상황극, 가족공감, 학교공감, 케바케, 가족시트콤, 학생공감, 친구공감, 개그, 코미디, 코믹, case by case, sitcom, mjjm, story, episode, acting, type, tiktok, student, school, Must-have_type 共感, 类型, 学校共感, 学生共感, 友達共感, Đồngcảm, kiểu, Đồngcảm_theoloại, Đồngcảm_của_trường, Đồngcảm_của_học_sinh, 겜쩜하네, 게임, game, 친구들이랑게임, 민쩌미게임, 친구끼리게임, 금칙어, 희생게임, 우정게임, 패더파티, 얼음땡, 스팀게임, 로블록스",20,https://i.ytimg.com/vi/r-Tr4_5kMwA/hqdefault.jpg,185563,1358,2748.0,false,624000,688113734,926,transcript_api,captions\r-Tr4_5kMwA.txt
KXp4k84pRfA,수많은 억까를 분석해서 집으로 돌아가는 게임,"메이크굿초이스 Make Good Choices
우주하마 UZUHAMA",2025-01-15T02:30:11Z,"병맛게임, ㅋㅋㅋㅋ, uzuhama",20,https://i.ytimg.com/vi/KXp4k84pRfA/hqdefault.jpg,521866,6575,1677.0,false,2100000,1883803096,2938,transcript_api,captions\KXp4k84pRfA.txt
1t_c_OlVET0,그저 CCTV만 보는데 지옥같은 공포게임,"우주하마 UZUHAMA 폴터가이스트 워쳐 Poltergeist Watcher
우주하마 팬카페 https://cafe.naver.com/uzuhama
우주하마 치지직 https://chzzk.naver.com/c6e1c8cf1b128bd321cc2684c92b5a00
#우주하마 #공포게임",2024-06-20T06:00:01Z,"병맛게임, 공포게임, ㅋㅋㅋㅋ, uzuhama, 이상현상",20,https://i.ytimg.com/vi/1t_c_OlVET0/hqdefault.jpg,917055,9945,1876.0,false,2100000,1883803096,2938,transcript_api,captions\1t_c_OlVET0.txt
FEbBvP2mdsg,이 미친 게임이 2탄이 나왔다고?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"난 두 수 앞에 있어
[업로드] 금,토,일,월 
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #병맛게임
Music provided by 브금대통령
Track : Retro Land -https://youtu.be/4KDrMs-NRwQ?si=3d_55wh4xtVKqdVl
Track : 오히려 좋아 - https://youtu.be/NM0Hlcn-Wh4?si=fPedXZmYWC28oj61 
Track : I Wanna be a Rockstar - https://youtu.be/HC-ODkmRzfc?si=14QMF3XBX_mGz9YT
Track : 마! 내가 다 했어! - https://youtu.be/c17yEkPBxnQ?si=V8-Fj3hbtoQJhvTK
Track : 맛춤뻡빌런 - https://youtu.be/3uNZ7sBZ050?si=9WxMX9kCWnpseSj2
Track : 펭귄의 비행 - https://youtu.be/ZW_msPN4GJw?si=P_U4ItSD2K8aEStb
Track : 한탕하는날 - https://youtu.be/Zphi0aokSEw?si=2qyka37kvvp3qQ3Q
Track : Dawn Of Victory - https://youtu.be/7p7XwWT9uKM?si=FR9i38lJT3rZWL4Z
Track : A Bit Tricky - https://youtu.be/jBqESgW0XJ4?si=i4mgT91KpqJacmG1
Music : 'Banana Cat'  by @dalkomsounds
Link : https://youtu.be/bhZ0Ecy5Bw8?si=chiwp2PWczCxs5du",2025-01-05T10:25:00Z,혜안,20,https://i.ytimg.com/vi/FEbBvP2mdsg/hqdefault.jpg,734293,19749,1318.0,false,2720000,2015966883,1707,transcript_api,captions\FEbBvP2mdsg.txt
vStelgqUjxs,※20분 순삭※ 혜안져스 레전드 양세찬게임ㅋㅋㅋㅋㅋㅋㅋㅋ,"뭘까요 ~?
[업로드] 금,토,일,월 
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #양세찬게임
Music provided by 브금대통령
Track : Grumpy Cat – https://youtu.be/dVtWRSVQ7x0
Track : 마! 내가 다 했어! - https://youtu.be/c17yEkPBxnQ
Track : 맛춤뻡빌런 - https://youtu.be/3uNZ7sBZ050
Track : 사짜 - https://youtu.be/NV3ofuKlCAM
Track : Playground - https://youtu.be/ofYhGhUt0cs
Track : 가을, 사랑 - https://youtu.be/AF0d943028M
Music by 달콤사운즈
‘Banana Cat’ - https://youtu.be/bhZ0Ecy5Bw8?si=8CeRybcZrl9g0WXY
‘Lemon Punch’ - https://youtu.be/svgC6pFo9NY
스케이드 보드 - https://youtu.be/JkvpLuI1PGA
Music Provided by : Free music AziSSong
Track : Mamma mamma - https://youtu.be/-HQbaNFmIG8
Track : Cute Snack Thief - https://youtu.be/u-qStWWPuQU",2024-09-21T10:32:56Z,혜안,20,https://i.ytimg.com/vi/vStelgqUjxs/hqdefault.jpg,1370265,25564,1305.0,false,2720000,2015966883,1707,transcript_api,captions\vStelgqUjxs.txt
lpGwpU8ATC8,IQ130 이상만 깬다는 애벌레로 조각하는 게임,"우주하마 UZUHAMA 우드웜 Woodworm
우주하마 팬카페 https://cafe.naver.com/uzuhama
우주하마 치지직 https://chzzk.naver.com/c6e1c8cf1b128bd321cc2684c92b5a00
#우주하마",2024-10-10T02:30:25Z,"병맛게임, 공포게임, ㅋㅋㅋㅋ, uzuhama",20,https://i.ytimg.com/vi/lpGwpU8ATC8/hqdefault.jpg,1050261,12132,1275.0,false,2100000,1883803096,2938,,
d6vfqIn4YMc,※25분 순삭※ 혜안져스 새 생존게임🤣ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"짹짹
[업로드] 금,토,일,월 
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #생존게임
Music by 달콤사운즈
‘Splash’ - https://youtu.be/qz_SCtCD-Vk?si=XGUykTDDHR82FRai
‘Banana Cat’ - https://youtu.be/bhZ0Ecy5Bw8?si=8CeRybcZrl9g0WXY
Music provided by 브금대통령
Track : Playground - https://youtu.be/ofYhGhUt0cs 
Track : 씰룩씰룩 - https://youtu.be/3Brg4JBk6JI?si=mY0GwSnE0alCsmpy
Artist : 피터뮤직
스케이드 보드 - https://youtu.be/JkvpLuI1PGA
Music Provided by : Free music AziSSong
Track : Mamma mamma - https://youtu.be/-HQbaNFmIG8
Track : 맛있는 상상 - https://youtu.be/6FD08T-KVRc",2024-07-26T10:25:00Z,"혜안, 혜안져스",20,https://i.ytimg.com/vi/d6vfqIn4YMc/hqdefault.jpg,2034738,49822,1533.0,false,2720000,2015966883,1707,transcript_api,captions\d6vfqIn4YMc.txt
g281SsZxDj8,"리뷰 40000개가 칭찬인 ""스폰지밥의 집을 청소해주는 게임"" 밤 샙니다","네모바지 박영식
[업로드] 금,토,일,월
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #청소브이로그 #병맛게임
Music by 브그밍
little rascal : https://youtu.be/pOgGO8Ey5w0",2024-05-27T10:15:01Z,혜안,20,https://i.ytimg.com/vi/g281SsZxDj8/hqdefault.jpg,1762661,35242,1411.0,false,2720000,2015966883,1707,transcript_api,captions\g281SsZxDj8.txt
7kLqaEI2s3Y,무려 166명을 감동시켜버린 두부 게임,"더스트롱기스트두부 The Strongest TOFU
우주하마 UZUHAMA",2024-11-27T02:30:03Z,"병맛게임, ㅋㅋㅋㅋ, uzuhama",20,https://i.ytimg.com/vi/7kLqaEI2s3Y/hqdefault.jpg,510853,5871,1835.0,false,2100000,1883803096,2938,transcript_api,captions\7kLqaEI2s3Y.txt
jTCFIBl6WD0,일본의 센주쿠 역에서 탈출하는 공포게임 (Platform 5 Dungeons),"#공포게임 #지하철 #탈출 
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : 5番線おじさん救出編 Platform 5 Dungeons
※다운로드링크 : https://store.steampowered.com/app/3503680/5_Platform_5_Dungeons/
※한글패치 링크 : 
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-04-03T12:49:51Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/jTCFIBl6WD0/hqdefault.jpg,234821,3215,3226.0,false,961000,654855265,1844,transcript_api,captions\jTCFIBl6WD0.txt
xAguBIBln7Q,"※시간 순삭※ 낮엔 농사꾼, 밤에는 좀비 잡는 게임...중독성 미침;","농부의 이중생활
[업로드] 금,토,일,월 
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #뱀파이어서바이벌
[브금대통령]
Track : 장난감전쟁 - https://www.youtube.com/watch?v=Fghad8y86rI
[브금술사]
Track : 기싸움 - https://youtu.be/kA4at70qpqw
[달콤사운즈]
Track : 붕어빵 - https://youtu.be/7K-SxX-XRrY
Track : Frapuccino - https://youtu.be/sx7DHvxUS9Q?si=_0FubzUTAiskeNKe",2025-01-06T10:37:38Z,혜안,20,https://i.ytimg.com/vi/xAguBIBln7Q/hqdefault.jpg,1194526,13029,2059.0,false,2720000,2015966883,1707,transcript_api,captions\xAguBIBln7Q.txt
4-S2mNio9jQ,눈물나는 희생게임 통합본 [로블록스 애니메이션],"'총 14부작' 눈물나는 희생게임 통합본이 6월 24일 오후 3시에 라이브로 공개됩니다!!
많은 시청 부탁드립니다!!

영상 내용을 과도하게 스포하는 내용의 댓글을 작성할 시, 채널에서 차단당하실 수 있으니 주의해주세요.

이 시리즈에서의 참가자들의 죽음은 실제 일상물과는 관련이 없음을 알립니다.

이 영상은 눈물나는 희생게임이라는 로블록스 게임에서 영감을 받아 제작되었습니다.
게임 링크: https://www.roblox.com/games/61165294...

---------------------------------------------------------------------------------------------------------------------------

소통 / 주제추천 / 사연작성
디코섭 링크: https://discord.gg/9ymftgB4fK
소통 / 친목
카톡 옾챗방 링크: https://open.kakao.com/o/gguX5f2e

디코섭 링크 만료되었으면 댓글로 알려주세용

---------------------------------------------------------------------------------------------------------------------------

1화 0:00
2화 2:03
3화 4:03
4화 5:42
5화 7:46
6화 9:44
7화 12:44
8화 15:43
9화 18:59
10화 21:19
11화 24:29
12화 28:00
13화 32:45
마지막화 37:12",2023-06-24T06:00:09Z,,20,https://i.ytimg.com/vi/4-S2mNio9jQ/hqdefault.jpg,1777345,12923,2526.0,false,171000,31669567,217,transcript_api,captions\4-S2mNio9jQ.txt
yBULTA0ex_8,현재 리썰보다 재밌다고 해외에서 난리난 게임ㅋㅋ(R.E.P.O.),"김재원 메일 wodnjs2601@naver.com  (사담 X)
구독 눌러주시고 알람해주시면
더 빠르게 제영상을 보실수있당가요",2025-03-17T07:00:43Z,"김재원, 김재원 알이피오, 김재원 REPO, 김재원 감다뒤즈, 김재원 리썰, 현재 리썰보다 재밌다고, 해외에서 난리난 게임",20,https://i.ytimg.com/vi/yBULTA0ex_8/hqdefault.jpg,151420,2449,1356.0,false,1840000,2589797861,3425,transcript_api,captions\yBULTA0ex_8.txt
qV42Tc3iBo8,제6회 보드게임 동호회,"오늘의 멤버: 카더가든, 넉살, 프로미스나인 박지원, 송하영, 오존, 목사님
오늘의 게임: 할리갈리 컵스, 모자가 아니잖아, 마헤

#카더정원 #카더가든",2024-12-17T10:00:56Z,"카더정원, 카더가든, 보드게임, 넉살, 오존, 프로미스나인",20,https://i.ytimg.com/vi/qV42Tc3iBo8/hqdefault.jpg,1407860,17658,1477.0,false,944000,392506111,396,transcript_api,captions\qV42Tc3iBo8.txt
cmdZq7Pu9MU,패스트푸드 음식점에서 야간 근무하기 (공포게임/Kiosk),"#공포게임 #야간근무 #음식점 
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : Kiosk
※다운로드링크 : https://store.steampowered.com/app/3126330/Kiosk/
※한글패치 링크 : 
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-03-09T12:00:49Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/cmdZq7Pu9MU/hqdefault.jpg,344887,4354,5205.0,false,961000,654855265,1844,transcript_api,captions\cmdZq7Pu9MU.txt
kry4Xp45fKw,버블티 카페를 운영하다 벌어지는 무서운 일 (The Boba Teashop),"#공포게임 #버블티 #카페 
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : The Boba Teashop
※다운로드링크 : https://store.steampowered.com/app/3461920/The_Boba_Teashop/
※한글패치 링크 : 
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-04-24T12:44:46Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/kry4Xp45fKw/hqdefault.jpg,223602,3371,2842.0,false,961000,654855265,1844,transcript_api,captions\kry4Xp45fKw.txt
R_VTAPI3yjo,7일간 산 속에서 텐트치고 숙박하는 게임,"세븐 데이즈 슈라인 7 days shrine
우주하마 UZUHAMA
#공포게임",2025-03-30T02:30:26Z,"병맛게임, 공포게임, ㅋㅋㅋㅋ, uzuhama",20,https://i.ytimg.com/vi/R_VTAPI3yjo/hqdefault.jpg,299323,4365,1542.0,false,2100000,1883803096,2938,transcript_api,captions\R_VTAPI3yjo.txt
PBwfOoNpiN8,그냥 오리 쳐다보는 게임; 근데 1시간 동안함ㅋㅋㅋㅋㅋㅋㅋ,"덕멍어스

[업로드] 금,토,일,월 
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #병맛게임",2022-08-07T10:00:18Z,"혜안, 병맛게임",20,https://i.ytimg.com/vi/PBwfOoNpiN8/hqdefault.jpg,1688306,25735,2990.0,false,2720000,2015966883,1707,transcript_api,captions\PBwfOoNpiN8.txt
uPwr9d2z5cc,(※시간 증발) 그냥 혼자 성 지키는 디펜스게임인데 중독성 미쳤습니다.,"혜안 2세
[업로드] 금,토,일,월 
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #디펜스게임
[브금대통령]
Track : 수사 반장 – https://youtu.be/wkXKGV9qJ6Y
Track : 먹을까 말까 – https://youtu.be/CCiOwpoB9r8
Track : I Wanna be a Rockstar - https://youtu.be/HC-ODkmRzfc
Track : Playground - https://youtu.be/ofYhGhUt0cs
Track : 뉘예뉘예 - https://youtu.be/r0zC62qBm_w
Track : 맛춤뻡빌런 - https://youtu.be/3uNZ7sBZ050
Track : 병아리는 삐약삐약 - https://youtu.be/ZNajc-kQ8zE
Track : Dwarves' Kingdom - https://youtu.be/zlCu66G1DQc
[브금술사]
Track : 기싸움 - https://youtu.be/kA4at70qpqw
[달콤사운즈]
Track : My Password - https://youtu.be/K7hUi-KxKPM?si=fW6VkJI-FPjzcNvA",2025-02-10T10:35:01Z,혜안,20,https://i.ytimg.com/vi/uPwr9d2z5cc/hqdefault.jpg,1087342,10137,2565.0,false,2720000,2015966883,1707,transcript_api,captions\uPwr9d2z5cc.txt
BQTx3mf32Fg,투표로 생존자를 정하는 게임... 게임 제목이 이상함ㅋㅋㅋ 로블록스 제거되지 않음,"게임 제목이 제거되지 않음?? ㅋㅋㅋ 뭔가 이상하지만 게임은 재미있네요.
이상한 아이스크림콘 괴물이 게임을 시키네요.. 지는 팀에서 투표로 제거자를 정하는 게임...
마지막까지 생존하는 사람은 누구일까요?
오늘도 재미있게 봐주세요~

버섯도리 Mushroom boy

#로블록스, #생존게임, #살아남기",2024-03-16T23:00:05Z,"제거되지 않음, 로블록스, 로블록스 게임, 휴대폰게임, 모바일게임, 폰게임, 버섯도리, 버섯돌이, 버섯돌이tv, 기리, 백앤아, 집사tv, 겜브링, 생존게임, 피하기 게임, 살아남기, 게임추천, 로블록스 게임추천, 로블록스 제거되지 않음, 탁주, 피하기",20,https://i.ytimg.com/vi/BQTx3mf32Fg/hqdefault.jpg,628983,2440,1203.0,false,1150000,1670205678,1331,transcript_api,captions\BQTx3mf32Fg.txt
l0Xo8DTJPsE,[로블록스] 배신과 거짓말이 난무하는 최고의 희생 게임 모음!! - 민또 경또 -,"✅민또 경또 구독하기 : https://www.youtube.com/channel/UCCW6uYIUP4YKKe50k-ktVAw?view_as=subscriber
☑️눈물나는 희생게임 게임하기 : https://www.roblox.com/games/6116529495
☑️GODS WILL 게임하기 : https://www.roblox.com/games/12826178482
☑️로블 어몽어스 3D 게임하기 : 게임이 사라져서 지금은 할 수 없어요 ㅠ_ㅠ...
☑️마지막 남은 시간 게임하기 : https://www.roblox.com/games/8305160617
🤣로블록스 꿀잼 게임들 모음 시리즈 : https://www.youtube.com/playlist?list=PL-AahvgqNuE4HZOJcbz2kQbl_qyVYNW77

#Roblox #로블록스 #민또경또",2023-11-25T07:30:10Z,"roblox backrooms game 2023, 로블록스 재밌는 게임 추천 2023, 로블록스 공포게임, 로블록스 반반의 유치원3 오필라버드, 로블록스 점보조쉬 반반의 괴물, 반반의 유치원 챕터2, 로블록스 반반의유치원3, 로블록스 오필라버드, 로블록스 백룸 공략 캐릭터 찾기, 로블록스 눈물나는 희생게임, 로블록스 탈출게임 오비, 로블록스 타이쿤 게임, 로블록스 시뮬레이터 게임, 로블록스 인기 게임, 로블록스 점프맵, 로블록스 입양하세요, 로블록스 재밌는 게임, 로블록스 로벅스 무료, 로블록스 상황극, Roblox Doors Story, 로블록스 도어즈 십자가, 로블록스 경찰과 도둑, 로블록스 감옥탈출 점프맵, 로블록스 협동 타워, 로블록스 다루마 게임, Roblox GODS WILL, 로블록스 어몽어스, Roblox Acid Rain Last To Leave, 로블록스 다루마상가, 로블록스 희생게임 챕터",20,https://i.ytimg.com/vi/l0Xo8DTJPsE/hqdefault.jpg,1186176,5865,3521.0,false,605000,878459762,1668,transcript_api,captions\l0Xo8DTJPsE.txt
5t-B2uSuPq4,직업이 전부 연인(?) 사랑 가득한 마피아 게임,"직업이 하나인 마피아 오늘은 연인과 경찰로 한번 플레이 해보겠습니다

▶구독하기❤& 좋아요👍버튼을 눌러주세요! 큰 힘이 됩니다 :D
----------------------------------------­----------
▷잠뜰 TV 간편 무료 구독하기 ! : http://goo.gl/FnZZQO
🐳비하인드를 보고싶다면 여기에요 여기 ! :https://www.youtube.com/channel/UCg7rkxrTnIhiHEpXY1ec9NA/join
----------------------------------------­----------

#잠뜰 #마인크래프트",2024-12-13T07:57:16Z,"마인크래프트, Minecraft, 잠뜰, Sleepground, 수현, 칠각별, 각별, 라더, 마인크래프트 잠뜰, 마크 미니게임, 잠뜰 미니게임, 공룡, 마인크래프트 공룡, 잠뜰 공룡, 덕개, 잠뜰 스토리, 마인크래프트 유튜버, 마인크래프트 공포, 마인크래프트 마피아, 잠뜰 스파이, 잠뜰 술래잡기, 잠뜰 마피아, 잠뜰 각별",20,https://i.ytimg.com/vi/5t-B2uSuPq4/hqdefault.jpg,889800,22425,2486.0,false,2320000,4030115256,4240,transcript_api,captions\5t-B2uSuPq4.txt
